Job Title,Job URL,python,sql,excel,power bi,tableau,machine learning,aws,snowflake,risk management,compliance,trading,investment banking,quantitative,kyc,aml,portfolio
CORPORATE DATA ANALYST 1,https://www.efinancialcareers.com/jobs-United_States-Poquoson-CORPORATE_DATA_ANALYST_1.id23988396,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Business Data Analyst,https://www.efinancialcareers.com/jobs-United_States-Pasadena-Business_Data_Analyst.id23897848,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Data Analyst III,https://www.efinancialcareers.com/jobs-United_States-New_York-Data_Analyst_III.id23976627,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Data Analyst III,https://www.efinancialcareers.com/jobs-United_States-San_Francisco-Data_Analyst_III.id23976444,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Principal Data Analyst- Retail Bank,https://www.efinancialcareers.com/jobs-United_States-McLean-Principal_Data_Analyst-_Retail_Bank.id23970517,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Data Analyst II,https://www.efinancialcareers.com/jobs-United_States-San_Francisco-Data_Analyst_II.id23976419,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Data Analyst II,https://www.efinancialcareers.com/jobs-United_States-New_York-Data_Analyst_II.id23976400,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
"Summer Internship - Data Analyst (Irving, TX)",https://www.efinancialcareers.com/jobs-United_States-Irving-Summer_Internship_-_Data_Analyst_Irving_TX.id23969932,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Senior Reporting and Data Analyst,https://www.efinancialcareers.com/jobs-United_States-Milwaukee-Senior_Reporting_and_Data_Analyst.id23970253,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Military Pathways - Postal Data Analyst,https://www.efinancialcareers.com/jobs-United_States-Omaha-Military_Pathways_-_Postal_Data_Analyst.id23970075,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Data Analyst (Administrative Specialist),https://www.efinancialcareers.com/jobs-United_States-New_Haven-Data_Analyst_Administrative_Specialist.id23964794,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Senior Alternatives Data Analyst,https://www.efinancialcareers.com/jobs-United_States-Boston-Senior_Alternatives_Data_Analyst.id23976298,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"Data Analyst, Compliance",https://www.efinancialcareers.com/jobs-United_States-New_York-Data_Analyst_Compliance.id23915573,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1
"Principal Business Data Analyst, New York",https://www.efinancialcareers.com/jobs-United_States-New_York-Principal_Business_Data_Analyst_New_York.id23970422,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Principal Data Analyst,https://www.efinancialcareers.com/jobs-United_States-McLean-Principal_Data_Analyst.id23897369,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Senior Data Engineer,https://www.efinancialcareers.com/jobs-USA-MA-Boston-Senior_Data_Engineer.id23977835,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Data Analyst II,https://www.efinancialcareers.com/jobs-USA-CA-San_Francisco-Data_Analyst_II.id23976419,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Quantitative Research,https://www.efinancialcareers.com/jobs-USA-NY-New_York-Quantitative_Research.id23987054,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Data Engineer,https://www.efinancialcareers.com/jobs-USA-NY-New_York-Data_Engineer.id23988493,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Senior Data Engineer (Python, SQL, AWS) - Navigator Platform",https://www.efinancialcareers.com/jobs-USA-TX-Plano-Senior_Data_Engineer_Python_SQL_AWS_-_Navigator_Platform.id23976882,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
"Principal Associate, Data Analyst - Risk",https://www.efinancialcareers.com/jobs-United_States-McLean-Principal_Associate_Data_Analyst_-_Risk.id23953413,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Principal Data Analyst - Human Resources,https://www.efinancialcareers.com/jobs-United_States-Richmond-Principal_Data_Analyst_-_Human_Resources.id23953650,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
Alpha Data Services - Data Analyst (US) - Officer,https://www.efinancialcareers.com/jobs-United_States-Clifton-Alpha_Data_Services_-_Data_Analyst_US_-_Officer.id23953433,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
"Data Analyst, Technology & Data Analytics Team, Hedge Fund, New York",https://www.efinancialcareers.com/jobs-United_States-New_York-Data_Analyst_Technology__Data_Analytics_Team_Hedge_Fund_New_York.id22694692,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Principal Data Analyst (Navigator Platform),https://www.efinancialcareers.com/jobs-United_States-Plano-Principal_Data_Analyst_Navigator_Platform.id23952767,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0
Postal Data Analyst,https://www.efinancialcareers.com/jobs-United_States-Omaha-Postal_Data_Analyst.id23952860,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Principal Data Analyst,https://www.efinancialcareers.com/jobs-United_States-McLean-Principal_Data_Analyst.id23947616,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"Analyst, Static Data Analyst",https://www.efinancialcareers.com/jobs-United_States-La_Jolla-Analyst_Static_Data_Analyst.id23909931,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Compliance Data Analyst,https://www.efinancialcareers.com/jobs-United_States-Hoboken-Compliance_Data_Analyst.id23946121,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1
"Data Analyst, Specialist",https://www.efinancialcareers.com/jobs-United_States-Charlotte-Data_Analyst_Specialist.id23970496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Principal Data Analyst (Advanced Analytics), HyperPersonalization",https://www.efinancialcareers.com/jobs-United_States-Charlotte-Principal_Data_Analyst_Advanced_Analytics_HyperPersonalization.id23941419,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0
"Manager, Data Analyst (Data Management)",https://www.efinancialcareers.com/jobs-United_States-Hartford-Manager_Data_Analyst_Data_Management.id23959713,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,https://www.efinancialcareers.com/jobs-United_States-Newport-Data_Analyst.id23840044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Data Analyst, Specialist",https://www.efinancialcareers.com/jobs-United_States-Phoenix-Data_Analyst_Specialist.id23953293,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"Data Analyst, Specialist",https://www.efinancialcareers.com/jobs-United_States-Phoenix-Data_Analyst_Specialist.id23952716,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Principal Data Analyst - Card,https://www.efinancialcareers.com/jobs-United_States-McLean-Principal_Data_Analyst_-_Card.id23918847,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"Data Analyst, Specialist (Mobile Analytics)",https://www.efinancialcareers.com/jobs-United_States-Dallas-Data_Analyst_Specialist_Mobile_Analytics.id23861012,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Data Analyst,https://www.efinancialcareers.com/jobs-United_States-Pasadena-Data_Analyst.id23909217,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"Principal Data Analyst - Client Analytics and Marketing Operations (CAMO), PULSE Network",https://www.efinancialcareers.com/jobs-United_States-Houston-Principal_Data_Analyst_-_Client_Analytics_and_Marketing_Operations_CAMO_PULSE_Network.id23886428,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1
Data Analyst Intern,https://www.efinancialcareers.com/jobs-United_States-Windsor-Data_Analyst_Intern.id23896763,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
"Data Analyst, Specialist",https://www.efinancialcareers.com/jobs-United_States-Dallas-Data_Analyst_Specialist.id23869944,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Data Analyst,https://www.efinancialcareers.com/jobs-United_States-New_York-Data_Analyst.id23860822,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Principal Data Analyst,https://www.efinancialcareers.com/jobs-United_States-Plano-Principal_Data_Analyst.id23847388,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Principal Data Analyst,https://www.efinancialcareers.com/jobs-United_States-Plano-Principal_Data_Analyst.id23836678,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
